fund_code,fund_name,strategy,company_name,company_code,instrument_id,instrument_type,deal_date,principal_invested,currency,coupon_rate,maturity_date,internal_price,position_status
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Alden Biotech,ALDBT,ALDBT-2026-TL,Term Loan,2025-01-22,22000000,USD,4.59,2026-01-22,92.2,Active
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Northwind Logistics,NWLGX,NWLGX-2026-BRL,Bridge Loan,2025-01-17,35000000,USD,3.21,2026-01-17,91.5,Active
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Granite Power,GNTPW,GNTPW-2027-BRL,Bridge Loan,2025-01-25,35000000,USD,4.43,2027-01-25,99.4,Active
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Maple Healthcare,MPLHC,MPLHC-2028-EQ,Equity Warrant,2025-02-04,,USD,,2028-02-04,,Active
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,BluePeak Energy,BLPEG,BLPEG-2030-RCF,Revolving Credit Facility,2025-03-04,22000000,USD,8.25,2030-03-04,101.7,Exited
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Crescent Media,CRSMD,CRSMD-2030-TL,Term Loan,2025-02-19,25000000,USD,8.39,2030-02-19,99.9,Active
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Harbor Aviation,HBRAV,HBRAV-2026-TL,Term Loan,2025-01-28,20000000,USD,8.02,2026-01-28,105.8,Active
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Summit Retail Group,SMTRG,SMTRG-2029-CVT,Convertible Note,2025-03-09,30000000,USD,4.06,2029-03-09,95.7,Active
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Pinnacle Pharma,PNCLP,PNCLP-2030-TL,Term Loan,2025-02-13,16000000,USD,6.47,2030-02-13,93.9,Active
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Vertex Software,VTXSW,VTXSW-2027-BRL,Bridge Loan,2025-01-27,28000000,EUR,8.48,2027-01-27,102.4,Active
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Lakeshore Metals,LKSHM,LKSHM-2029-RCF,Revolving Credit Facility,2025-03-23,22000000,EUR,3.43,2029-03-23,104.6,Active
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Oceanic Freight,OCNFR,OCNFR-2029-SUB,Subordinated Note,2025-03-18,40000000,EUR,3.93,2029-03-18,92.2,Active
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Solaris Renewables,SLRSR,SLRSR-2029-UTR,Unitranche,2025-01-17,32000000,EUR,5.35,2029-01-17,106.0,Active
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Nordic Transport,NRDTR,NRDTR-2032-SSN,Senior Secured Note,2025-03-14,14000000,EUR,3.99,2032-03-14,92.6,Active
SSF-004,Sixth Street European Credit Fund IV,European Credit,Rhine Industries,RHINID,RHINID-2030-EQ,Equity Warrant,2025-01-22,22000000,EUR,,2030-01-22,,Active
SSF-004,Sixth Street European Credit Fund IV,European Credit,Alpine Hospitality,ALPNH,ALPNH-2026-RCF,Revolving Credit Facility,2025-03-24,25000000,EUR,5.83,2026-03-24,97.3,Active
SSF-004,Sixth Street European Credit Fund IV,European Credit,TechNova AI,TCNVA,TCNVA-2032-BRL,Bridge Loan,2025-03-10,16000000,EUR,6.3,2032-03-10,91.7,Active
SSF-004,Sixth Street European Credit Fund IV,European Credit,Quantum Diagnostics,QNTDX,QNTDX-2030-BRL,Bridge Loan,2025-03-25,18000000,EUR,3.99,2030-03-25,102.2,Active
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,DataStream Analytics,DTSTR,DTSTR-2028-UTR,Unitranche,2025-02-08,45000000,USD,3.13,2028-02-08,104.9,Active
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,Thames Grid Solutions,THMGS,THMGS-2026-UTR,Unitranche,2025-03-25,12000000,USD,7.76,2026-03-25,103.1,Active
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,Caledonian Rail,CLDRN,CLDRN-2030-SUB,Subordinated Note,2025-02-07,16000000,USD,4.72,2030-02-07,104.0,Watchlist
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Windsor Utilities,WNDSR,WNDSR-2031-MZN,Mezzanine Debt,2025-02-15,25000000,GBP,5.59,2031-02-15,100.7,Active
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Pacific Semiconductor,PACSM,PACSM-2026-SUB,Subordinated Note,2025-03-18,20000000,GBP,4.46,2026-03-18,95.4,Active
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Horizon Shipping,HRZNS,HRZNS-2026-MZN,Mezzanine Debt,2025-01-02,12000000,GBP,7.6,2026-01-02,90.9,Active
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,SilverLake Ventures,SVLKV,SVLKV-2030-TL,Term Loan,2025-03-05,20000000,GBP,4.81,2030-03-05,97.8,Active
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Cascade Telecom,CSCTL,CSCTL-2030-UTR,Unitranche,2025-02-07,45000000,GBP,4.58,2030-02-07,97.6,Active
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Redwood Capital Partners,RDWCP,RDWCP-2028-EQ,Equity Warrant,2025-01-22,10000000,USD,,2028-01-22,,Active
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Vanguard Aerospace,VNGRD,VNGRD-2031-EQ,Equity Warrant,2025-01-07,,USD,,2031-01-07,,Active
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Sterling Industrial,STRLI,STRLI-2028-BND,Corporate Bond,2025-02-26,40000000,USD,4.62,2028-02-26,104.8,Active
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Atlas Chemicals,ATLSC,ATLSC-2026-BRL,Bridge Loan,2025-01-03,10000000,USD,7.24,2026-01-03,98.6,Watchlist
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Meridian Hotels,MRDNH,MRDNH-2027-MZN,Mezzanine Debt,2025-02-02,35000000,USD,6.16,2027-02-02,93.4,Active
SSF-008,Sixth Street Distressed Debt Fund VIII,Distressed Debt,Ironclad Security,IRNCS,IRNCS-2028-EQ,Equity Warrant,2025-03-26,15000000,USD,,2028-03-26,,Active
SSF-008,Sixth Street Distressed Debt Fund VIII,Distressed Debt,Olympus Mining,OLYMN,OLYMN-2028-MZN,Mezzanine Debt,2025-03-02,18000000,USD,9.3,2028-03-02,99.3,Active
SSF-008,Sixth Street Distressed Debt Fund VIII,Distressed Debt,Zenith Healthcare,ZNTHL,ZNTHL-2026-SSN,Senior Secured Note,2025-01-02,45000000,USD,6.27,2026-01-02,103.6,Watchlist
SSF-009,Sixth Street CLO Fund IX,CLO / Structured,Falcon Logistics,FLCNL,FLCNL-2026-BND,Corporate Bond,2025-01-19,12000000,USD,7.39,2026-01-19,93.8,Active
SSF-009,Sixth Street CLO Fund IX,CLO / Structured,Neptune Offshore,NPTNO,NPTNO-2026-UTR,Unitranche,2025-03-11,12000000,USD,5.72,2026-03-11,99.3,Watchlist
SSF-009,Sixth Street CLO Fund IX,CLO / Structured,Titan Construction,TTNCO,TTNCO-2031-MZN,Mezzanine Debt,2025-03-21,28000000,USD,4.55,2031-03-21,96.3,Active
SSF-010,Sixth Street Real Estate Debt Fund X,Real Estate Debt,Eclipse Fintech,ECLPF,ECLPF-2026-TL,Term Loan,2025-01-03,40000000,USD,7.04,2026-01-03,99.0,Active
