fund_code,fund_name,strategy,company_name,company_code,instrument_id,instrument_type,deal_date,principal_invested,currency,coupon_rate,maturity_date,internal_price,position_status,entry_date,last_valuation,interest_accrued,settlement_status,fx_date,rate,q1_2025_return_pct,principal_usd,valuation_usd,interest_usd,unrealized_pnl_usd,unrealized_pnl_pct,fund_total,concentration_pct,concentration_flag
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Alden Biotech,ALDBT,ALDBT-2026-TL,Term Loan,2025-01-22,22000000.0,USD,4.59,2026-01-22,92.2,Active,2025-03-31,23664686.0,252450.0,Settled,2025-03-31,1.0,2.15,22000000.0,23664686.0,252450.0,1664686.0,7.566754545454546,114222373.0,20.718082962608385,False
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Northwind Logistics,NWLGX,NWLGX-2026-BRL,Bridge Loan,2025-01-17,35000000.0,USD,3.21,2026-01-17,91.5,Active,2025-03-31,35016793.0,280875.0,Settled,2025-03-31,1.0,2.15,35000000.0,35016793.0,280875.0,16793.0,0.04798,114222373.0,30.656684921088097,False
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Granite Power,GNTPW,GNTPW-2027-BRL,Bridge Loan,2025-01-25,35000000.0,USD,4.43,2027-01-25,99.4,Active,2025-03-31,35602682.0,387625.0,Pending,2025-03-31,1.0,2.15,35000000.0,35602682.0,387625.0,602682.0,1.7219485714285714,114222373.0,31.16962208445801,False
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,Maple Healthcare,MPLHC,MPLHC-2028-EQ,Equity Warrant,2025-02-04,,USD,,2028-02-04,,Active,2025-03-31,,0.0,Break,2025-03-31,1.0,2.15,,0.0,0.0,,,114222373.0,0.0,False
SSF-001,Sixth Street Tactical Opportunities Fund I,Opportunistic Credit,BluePeak Energy,BLPEG,BLPEG-2030-RCF,Revolving Credit Facility,2025-03-04,22000000.0,USD,8.25,2030-03-04,101.7,Exited,2025-03-31,19938212.0,453750.0,Settled,2025-03-31,1.0,2.15,22000000.0,19938212.0,453750.0,-2061788.0,-9.371763636363637,114222373.0,17.455610031845513,False
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Crescent Media,CRSMD,CRSMD-2030-TL,Term Loan,2025-02-19,25000000.0,USD,8.39,2030-02-19,99.9,Active,2025-03-31,25352431.0,524375.0,Break,2025-03-31,1.0,1.87,25000000.0,25352431.0,524375.0,352431.0,1.409724,90910292.0,27.887305652917714,False
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Harbor Aviation,HBRAV,HBRAV-2026-TL,Term Loan,2025-01-28,20000000.0,USD,8.02,2026-01-28,105.8,Active,2025-03-31,19406220.0,401000.0,Settled,2025-03-31,1.0,1.87,20000000.0,19406220.0,401000.0,-593780.0,-2.9689,90910292.0,21.346559969249686,False
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Summit Retail Group,SMTRG,SMTRG-2029-CVT,Convertible Note,2025-03-09,30000000.0,USD,4.06,2029-03-09,95.7,Active,2025-03-31,31016631.0,304500.0,Break,2025-03-31,1.0,1.87,30000000.0,31016631.0,304500.0,1016631.0,3.38877,90910292.0,34.117843335053855,False
SSF-002,Sixth Street Direct Lending Fund II,Direct Lending,Pinnacle Pharma,PNCLP,PNCLP-2030-TL,Term Loan,2025-02-13,16000000.0,USD,6.47,2030-02-13,93.9,Active,2025-03-31,15135010.0,258800.0,Pending,2025-03-31,1.0,1.87,16000000.0,15135010.0,258800.0,-864990.0,-5.406187500000001,90910292.0,16.648291042778744,False
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Vertex Software,VTXSW,VTXSW-2027-BRL,Bridge Loan,2025-01-27,28000000.0,EUR,8.48,2027-01-27,102.4,Active,2025-03-31,27051400.0,593600.0,Settled,2025-03-31,1.0815,1.42,30281999.999999996,29256089.099999998,641978.3999999999,-1025910.8999999985,-3.3878571428571385,147728926.56899998,19.80390014296578,False
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Lakeshore Metals,LKSHM,LKSHM-2029-RCF,Revolving Credit Facility,2025-03-23,22000000.0,EUR,3.43,2029-03-23,104.6,Active,2025-03-31,23447971.0,188650.0,Settled,2025-03-31,1.0815,1.42,23792999.999999996,25358980.636499997,204024.97499999998,1565980.636500001,6.5816863636363685,147728926.56899998,17.165887023930644,False
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Oceanic Freight,OCNFR,OCNFR-2029-SUB,Subordinated Note,2025-03-18,40000000.0,EUR,3.93,2029-03-18,92.2,Active,2025-03-31,42810337.0,393000.0,Pending,2025-03-31,1.0815,1.42,43259999.99999999,46299379.4655,425029.49999999994,3039379.4655000046,7.025842500000012,147728926.56899998,31.34076754011671,False
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Solaris Renewables,SLRSR,SLRSR-2029-UTR,Unitranche,2025-01-17,32000000.0,EUR,5.35,2029-01-17,106.0,Active,2025-03-31,29983539.0,428000.0,Pending,2025-03-31,1.0815,1.42,34608000.0,32427197.428499997,462881.99999999994,-2180802.5715000033,-6.30144062500001,147728926.56899998,21.950472518565398,False
SSF-003,Sixth Street Multi-Asset Fund III,Multi-Asset,Nordic Transport,NRDTR,NRDTR-2032-SSN,Senior Secured Note,2025-03-14,14000000.0,EUR,3.99,2032-03-14,92.6,Active,2025-03-31,13303079.0,139650.0,Settled,2025-03-31,1.0815,1.42,15140999.999999998,14387279.938499998,151031.47499999998,-753720.0614999998,-4.978007142857142,147728926.56899998,9.738972774421475,False
SSF-004,Sixth Street European Credit Fund IV,European Credit,Rhine Industries,RHINID,RHINID-2030-EQ,Equity Warrant,2025-01-22,22000000.0,EUR,,2030-01-22,,Active,2025-03-31,22272489.0,0.0,Break,2025-03-31,1.0815,1.95,23792999.999999996,24087696.853499997,0.0,294696.85350000113,1.2385863636363685,121126429.66199999,19.886408705941438,False
SSF-004,Sixth Street European Credit Fund IV,European Credit,Alpine Hospitality,ALPNH,ALPNH-2026-RCF,Revolving Credit Facility,2025-03-24,25000000.0,EUR,5.83,2026-03-24,97.3,Active,2025-03-31,23621873.0,364375.0,Settled,2025-03-31,1.0815,1.95,27037499.999999996,25547055.649499997,394071.56249999994,-1490444.3504999988,-5.512507999999997,121126429.66199999,21.09123146846511,False
SSF-004,Sixth Street European Credit Fund IV,European Credit,TechNova AI,TCNVA,TCNVA-2032-BRL,Bridge Loan,2025-03-10,16000000.0,EUR,6.3,2032-03-10,91.7,Active,2025-03-31,14132593.0,252000.0,Settled,2025-03-31,1.0815,1.95,17304000.0,15284399.329499999,272538.0,-2019600.670500001,-11.671293750000006,121126429.66199999,12.618550197632919,False
SSF-004,Sixth Street European Credit Fund IV,European Credit,Quantum Diagnostics,QNTDX,QNTDX-2030-BRL,Bridge Loan,2025-03-25,18000000.0,EUR,3.99,2030-03-25,102.2,Active,2025-03-31,16956834.0,179550.0,Pending,2025-03-31,1.0815,1.95,19467000.0,18338815.970999997,194183.32499999998,-1128184.029000003,-5.795366666666681,121126429.66199999,15.140226639366789,False
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,DataStream Analytics,DTSTR,DTSTR-2028-UTR,Unitranche,2025-02-08,45000000.0,USD,3.13,2028-02-08,104.9,Active,2025-03-31,48499388.0,352125.0,Settled,2025-03-31,1.0,3.21,45000000.0,48499388.0,352125.0,3499388.0,7.776417777777778,76135932.0,63.70104985383248,True
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,Thames Grid Solutions,THMGS,THMGS-2026-UTR,Unitranche,2025-03-25,12000000.0,USD,7.76,2026-03-25,103.1,Active,2025-03-31,12848169.0,232800.0,Break,2025-03-31,1.0,3.21,12000000.0,12848169.0,232800.0,848169.0,7.068075,76135932.0,16.875302715149004,False
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,Caledonian Rail,CLDRN,CLDRN-2030-SUB,Subordinated Note,2025-02-07,16000000.0,USD,4.72,2030-02-07,104.0,Watchlist,2025-03-31,14788375.0,188800.0,Pending,2025-03-31,1.0,3.21,16000000.0,14788375.0,188800.0,-1211625.0,-7.57265625,76135932.0,19.42364743101851,False
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Windsor Utilities,WNDSR,WNDSR-2031-MZN,Mezzanine Debt,2025-02-15,25000000.0,GBP,5.59,2031-02-15,100.7,Active,2025-03-31,23372777.0,349375.0,Settled,2025-03-31,1.2712,1.68,31780000.000000004,29711474.1224,444125.50000000006,-2068525.877600003,-6.508892000000009,148732976.7224,19.976386392006695,False
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Pacific Semiconductor,PACSM,PACSM-2026-SUB,Subordinated Note,2025-03-18,20000000.0,GBP,4.46,2026-03-18,95.4,Active,2025-03-31,17937317.0,223000.0,Settled,2025-03-31,1.2712,1.68,25424000.000000004,22801917.3704,283477.60000000003,-2622082.6296000034,-10.313415000000012,148732976.7224,15.330774568546577,False
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Horizon Shipping,HRZNS,HRZNS-2026-MZN,Mezzanine Debt,2025-01-02,12000000.0,GBP,7.6,2026-01-02,90.9,Active,2025-03-31,11584234.0,228000.0,Settled,2025-03-31,1.2712,1.68,15254400.000000002,14725878.260800002,289833.60000000003,-528521.7391999997,-3.4647166666666647,148732976.7224,9.900883170169351,False
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,SilverLake Ventures,SVLKV,SVLKV-2030-TL,Term Loan,2025-03-05,20000000.0,GBP,4.81,2030-03-05,97.8,Active,2025-03-31,20924442.0,240500.0,Pending,2025-03-31,1.2712,1.68,25424000.000000004,26599150.6704,305723.60000000003,1175150.6703999974,4.622209999999989,148732976.7224,17.883828628028812,False
SSF-006,Sixth Street Infrastructure Debt Fund VI,Infrastructure,Cascade Telecom,CSCTL,CSCTL-2030-UTR,Unitranche,2025-02-07,45000000.0,GBP,4.58,2030-02-07,97.6,Active,2025-03-31,43183257.0,515250.0,Settled,2025-03-31,1.2712,1.68,57204000.00000001,54894556.29840001,654985.8,-2309443.7016000003,-4.037206666666666,148732976.7224,36.908127241248565,False
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Redwood Capital Partners,RDWCP,RDWCP-2028-EQ,Equity Warrant,2025-01-22,10000000.0,USD,,2028-01-22,,Active,2025-03-31,10799953.0,0.0,Settled,2025-03-31,1.0,2.44,10000000.0,10799953.0,0.0,799953.0,7.999530000000001,119776029.0,9.016789995600872,False
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Vanguard Aerospace,VNGRD,VNGRD-2031-EQ,Equity Warrant,2025-01-07,,USD,,2031-01-07,,Active,2025-03-31,10184137.0,0.0,Break,2025-03-31,1.0,2.44,,10184137.0,0.0,,,119776029.0,8.502650392592328,False
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Sterling Industrial,STRLI,STRLI-2028-BND,Corporate Bond,2025-02-26,40000000.0,USD,4.62,2028-02-26,104.8,Active,2025-03-31,42643775.0,462000.0,Pending,2025-03-31,1.0,2.44,40000000.0,42643775.0,462000.0,2643775.0,6.609437499999999,119776029.0,35.602929364105066,False
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Atlas Chemicals,ATLSC,ATLSC-2026-BRL,Bridge Loan,2025-01-03,10000000.0,USD,7.24,2026-01-03,98.6,Watchlist,2025-03-31,9281660.0,181000.0,Settled,2025-03-31,1.0,2.44,10000000.0,9281660.0,181000.0,-718340.0,-7.1834,119776029.0,7.749179929817175,False
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,Meridian Hotels,MRDNH,MRDNH-2027-MZN,Mezzanine Debt,2025-02-02,35000000.0,USD,6.16,2027-02-02,93.4,Active,2025-03-31,32343629.0,539000.0,Settled,2025-03-31,1.0,2.44,35000000.0,32343629.0,539000.0,-2656371.0,-7.589631428571429,119776029.0,27.003424032366276,False
SSF-008,Sixth Street Distressed Debt Fund VIII,Distressed Debt,Ironclad Security,IRNCS,IRNCS-2028-EQ,Equity Warrant,2025-03-26,15000000.0,USD,,2028-03-26,,Active,2025-03-31,13354338.0,0.0,Settled,2025-03-31,1.0,2.78,15000000.0,13354338.0,0.0,-1645662.0,-10.97108,78142889.0,17.089639468026323,False
SSF-008,Sixth Street Distressed Debt Fund VIII,Distressed Debt,Olympus Mining,OLYMN,OLYMN-2028-MZN,Mezzanine Debt,2025-03-02,18000000.0,USD,9.3,2028-03-02,99.3,Active,2025-03-31,17978687.0,418500.0,Break,2025-03-31,1.0,2.78,18000000.0,17978687.0,418500.0,-21313.0,-0.11840555555555556,78142889.0,23.0074511322457,False
SSF-008,Sixth Street Distressed Debt Fund VIII,Distressed Debt,Zenith Healthcare,ZNTHL,ZNTHL-2026-SSN,Senior Secured Note,2025-01-02,45000000.0,USD,6.27,2026-01-02,103.6,Watchlist,2025-03-31,46809864.0,705375.0,Settled,2025-03-31,1.0,2.78,45000000.0,46809864.0,705375.0,1809864.0,4.02192,78142889.0,59.902909399727974,True
SSF-009,Sixth Street CLO Fund IX,CLO / Structured,Falcon Logistics,FLCNL,FLCNL-2026-BND,Corporate Bond,2025-01-19,12000000.0,USD,7.39,2026-01-19,93.8,Active,2025-03-31,10597875.0,221700.0,Settled,2025-03-31,1.0,1.92,12000000.0,10597875.0,221700.0,-1402125.0,-11.684375,50088574.0,21.15826855042829,False
SSF-009,Sixth Street CLO Fund IX,CLO / Structured,Neptune Offshore,NPTNO,NPTNO-2026-UTR,Unitranche,2025-03-11,12000000.0,USD,5.72,2026-03-11,99.3,Watchlist,2025-03-31,12248811.0,171600.0,Settled,2025-03-31,1.0,1.92,12000000.0,12248811.0,171600.0,248811.0,2.073425,50088574.0,24.454301693635756,False
SSF-009,Sixth Street CLO Fund IX,CLO / Structured,Titan Construction,TTNCO,TTNCO-2031-MZN,Mezzanine Debt,2025-03-21,28000000.0,USD,4.55,2031-03-21,96.3,Active,2025-03-31,27241888.0,318500.0,Settled,2025-03-31,1.0,1.92,28000000.0,27241888.0,318500.0,-758112.0,-2.707542857142857,50088574.0,54.387429755935955,True
SSF-010,Sixth Street Real Estate Debt Fund X,Real Estate Debt,Eclipse Fintech,ECLPF,ECLPF-2026-TL,Term Loan,2025-01-03,40000000.0,USD,7.04,2026-01-03,99.0,Active,2025-03-31,41704424.0,704000.0,Settled,2025-03-31,1.0,1.55,40000000.0,41704424.0,704000.0,1704424.0,4.26106,81602385.0,51.106868996537294,True
SSF-010,Sixth Street Real Estate Debt Fund X,Real Estate Debt,Aurora Clean Energy,AURCE,AURCE-2028-BRL,Bridge Loan,2025-01-12,15000000.0,USD,9.07,2028-01-12,104.1,Active,2025-03-31,14276877.0,340125.0,Settled,2025-03-31,1.0,1.55,15000000.0,14276877.0,340125.0,-723123.0,-4.82082,81602385.0,17.49566143195447,False
SSF-010,Sixth Street Real Estate Debt Fund X,Real Estate Debt,Cobalt Materials,CBLTM,CBLTM-2032-SUB,Subordinated Note,2025-03-17,25000000.0,USD,6.98,2032-03-17,105.8,Active,2025-03-31,25621084.0,436250.0,Break,2025-03-31,1.0,1.55,25000000.0,25621084.0,436250.0,621084.0,2.484336,81602385.0,31.397469571508235,False
SSF-012,Sixth Street Direct Lending Fund XII,Direct Lending,Alpine Hospitality,ALPNH,ALPNH-2028-TL,Term Loan,2025-01-28,35000000.0,USD,9.33,2028-01-28,102.0,Active,2025-03-31,33814808.0,816375.0,Pending,2025-03-31,1.0,1.87,35000000.0,33814808.0,816375.0,-1185192.0,-3.386262857142857,33814808.0,100.0,True
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,TechNova AI,TCNVA,TCNVA-2026-EQ,Equity Warrant,2025-02-26,20000000.0,EUR,,2026-02-26,,Active,2025-03-31,18043432.0,0.0,Break,2025-03-31,1.0815,1.95,21629999.999999996,19513971.707999997,0.0,-2116028.2919999994,-9.78284,77793524.66549999,25.084313626239496,False
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,Quantum Diagnostics,QNTDX,QNTDX-2027-CVT,Convertible Note,2025-02-08,14000000.0,EUR,5.49,2027-02-08,90.6,Active,2025-03-31,13025588.0,192150.0,Break,2025-03-31,1.0815,1.95,15140999.999999998,14087173.421999998,207810.22499999998,-1053826.5779999997,-6.960085714285713,77793524.66549999,18.108413884796512,False
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,DataStream Analytics,DTSTR,DTSTR-2028-SUB,Subordinated Note,2025-01-01,25000000.0,EUR,8.33,2028-01-01,103.9,Active,2025-03-31,22458367.0,520625.0,Break,2025-03-31,1.0815,1.95,27037499.999999996,24288723.910499997,563055.9375,-2748776.089499999,-10.166531999999998,77793524.66549999,31.22203810013458,False
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Thames Grid Solutions,THMGS,THMGS-2028-RCF,Revolving Credit Facility,2025-03-17,12000000.0,USD,9.28,2028-03-17,94.5,Active,2025-03-31,11138702.0,278400.0,Settled,2025-03-31,1.0,3.21,12000000.0,11138702.0,278400.0,-861298.0,-7.177483333333333,64551704.0,17.25547322499806,False
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Caledonian Rail,CLDRN,CLDRN-2028-BRL,Bridge Loan,2025-01-19,8000000.0,USD,3.75,2028-01-19,105.5,Exited,2025-03-31,8238419.0,75000.0,Pending,2025-03-31,1.0,3.21,8000000.0,8238419.0,75000.0,238419.0,2.9802375,64551704.0,12.76251204770675,False
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Windsor Utilities,WNDSR,WNDSR-2026-CVT,Convertible Note,2025-02-14,14000000.0,USD,6.88,2026-02-14,95.5,Active,2025-03-31,13142546.0,240800.0,Settled,2025-03-31,1.0,3.21,14000000.0,13142546.0,240800.0,-857454.0,-6.124671428571428,64551704.0,20.359719706237346,False
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Pacific Semiconductor,PACSM,PACSM-2026-BRL,Bridge Loan,2025-01-23,32000000.0,USD,8.85,2026-01-23,93.0,Active,2025-03-31,32032037.0,708000.0,Settled,2025-03-31,1.0,3.21,32000000.0,32032037.0,708000.0,32037.0,0.10011562500000001,64551704.0,49.62229502105785,True
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Horizon Shipping,HRZNS,HRZNS-2031-BRL,Bridge Loan,2025-03-11,18000000.0,GBP,5.37,2031-03-11,91.1,Active,2025-03-31,16168409.0,241650.0,Pending,2025-03-31,1.2712,1.68,22881600.000000004,20553281.520800002,307185.48000000004,-2328318.479200002,-10.175505555555562,143254877.61200002,14.347351980899195,False
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,SilverLake Ventures,SVLKV,SVLKV-2031-TL,Term Loan,2025-02-13,25000000.0,GBP,6.3,2031-02-13,100.7,Active,2025-03-31,26701130.0,393750.0,Pending,2025-03-31,1.2712,1.68,31780000.000000004,33942476.456,500535.00000000006,2162476.4559999965,6.804519999999989,143254877.61200002,23.69376667783125,False
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Cascade Telecom,CSCTL,CSCTL-2027-BRL,Bridge Loan,2025-03-24,18000000.0,GBP,5.73,2027-03-24,105.0,Active,2025-03-31,18197719.0,257850.0,Break,2025-03-31,1.2712,1.68,22881600.000000004,23132940.392800003,327778.92000000004,251340.39279999956,1.0984388888888867,143254877.61200002,16.148099651765175,False
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Redwood Capital Partners,RDWCP,RDWCP-2030-UTR,Unitranche,2025-02-10,25000000.0,GBP,5.64,2030-02-10,103.3,Active,2025-03-31,24538449.0,352500.0,Break,2025-03-31,1.2712,1.68,31780000.000000004,31193276.368800003,448098.00000000006,-586723.6312000006,-1.846204000000002,143254877.61200002,21.77466965787072,False
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Vanguard Aerospace,VNGRD,VNGRD-2030-UTR,Unitranche,2025-01-17,28000000.0,GBP,6.02,2030-01-17,97.1,Active,2025-03-31,27086928.0,421400.0,Pending,2025-03-31,1.2712,1.68,35593600.0,34432902.873600006,535683.68,-1160697.126399994,-3.2609714285714118,143254877.61200002,24.036112031633657,False
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Sterling Industrial,STRLI,STRLI-2031-BND,Corporate Bond,2025-03-11,12000000.0,USD,4.84,2031-03-11,100.6,Active,2025-03-31,11098893.0,145200.0,Settled,2025-03-31,1.0,2.44,12000000.0,11098893.0,145200.0,-901107.0,-7.509225,141325488.0,7.853426269435559,False
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Atlas Chemicals,ATLSC,ATLSC-2031-MZN,Mezzanine Debt,2025-01-02,25000000.0,USD,4.46,2031-01-02,93.2,Active,2025-03-31,26810145.0,278750.0,Pending,2025-03-31,1.0,2.44,25000000.0,26810145.0,278750.0,1810145.0,7.2405800000000005,141325488.0,18.970495258434912,False
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Meridian Hotels,MRDNH,MRDNH-2030-SUB,Subordinated Note,2025-03-07,12000000.0,USD,5.96,2030-03-07,104.2,Active,2025-03-31,11254673.0,178800.0,Pending,2025-03-31,1.0,2.44,12000000.0,11254673.0,178800.0,-745327.0,-6.211058333333333,141325488.0,7.963654086232484,False
